symbol,side,qty,entry_price,exit_price,realized_pnl,status,time_open,time_close,hold_time_hms,last_pnl,notes
SQDUSDT,SHORT,179.0,0.20834,,,OPEN,2025-09-30 22:49:30,,,,auto-detected open
SQDUSDT,SHORT,179.0,0.20834,,,OPEN,2025-09-30 22:59:29,,,,auto-detected open
SQDUSDT,SHORT,179.0,0.20834,,,OPEN,2025-09-30 23:05:08,,,0.008949999999999014,auto-detected open
SQDUSDT,SHORT,179.0,0.20834,0.23670185,-5.076771149999999,CLOSED,2025-09-30 23:13:29,2025-10-01 01:14:44,02:01:15,4.098294500000002,auto-detected open | Under Test | auto-detected close
SOMIUSDT,SHORT,6.0,0.8698,0.91347096,-0.006851520000000111,CLOSED,2025-10-01 23:13:29,2025-10-02 04:11:47,04:58:18,0.014271480000000114,auto-detected open | auto-detected close
SOMIUSDT,SHORT,12.0,0.9129,0.0,10.9548,CLOSED,2025-10-02 04:12:04,2025-10-02 10:20:47,06:08:43,-0.2504363999999999,auto-detected open | auto-detected close
NILUSDT,SHORT,304.2,0.3368,0.0,102.45455999999999,CLOSED,2025-10-02 10:17:03,2025-10-02 10:20:47,00:03:44,-0.24922801799999164,auto-detected open | auto-detected close
SOMIUSDT,SHORT,12.0,0.9129,0.8816,0.37559999999999993,CLOSED,2025-10-02 10:22:28,2025-10-02 11:22:59,01:00:31,-0.377626680000001,auto-detected open | auto-detected close
NILUSDT,SHORT,304.2,0.3368,,,OPEN,2025-10-02 10:22:28,,,-0.4001355539999946,auto-detected open
ILVUSDT,SHORT,7.3,16.013,,,OPEN,2025-10-02 11:53:57,,,0.021899999999974894,auto-detected open
ILVUSDT,SHORT,7.3,16.013,16.046,-0.24089999999998318,CLOSED,2025-10-02 12:36:12,2025-10-03 00:42:05,12:05:53,0.24089999999998318,auto-detected open | auto-detected close
NILUSDT,SHORT,304.2,0.3368,0.34239421,-1.7017586819999964,CLOSED,2025-10-02 12:36:12,2025-10-03 00:42:05,12:05:53,1.7030363219999993,auto-detected open | auto-detected close
ILVUSDT,SHORT,7.3,16.013,15.443,4.161000000000015,CLOSED,2025-10-03 00:42:06,2025-10-03 10:58:15,10:16:09,-4.14640000000001,auto-detected open | auto-detected close
NILUSDT,SHORT,304.2,0.3368,0.3425,-1.7339400000000116,CLOSED,2025-10-03 00:42:06,2025-10-03 19:39:25,18:57:19,1.7339400000000116,auto-detected open | auto-detected close
NILUSDT,SHORT,304.2,0.3368,0.3378,-0.30420000000000025,CLOSED,2025-10-03 19:39:26,2025-10-04 00:07:11,04:27:45,0.2969600400000116,auto-detected open | auto-detected close
NILUSDT,SHORT,304.2,0.3368,0.33507126,0.5258827080000019,CLOSED,2025-10-04 00:07:26,2025-10-04 09:59:08,09:51:42,0.09126000000000684,auto-detected open | auto-detected close
NILUSDT,SHORT,304.2,0.3368,0.33035817,1.9596046859999943,CLOSED,2025-10-04 09:59:09,2025-10-04 12:13:11,02:14:02,-1.9713650580000015,auto-detected open | auto-detected close
BROCCOLI714USDT,SHORT,3761.0,0.05607,0.05258,13.12589,CLOSED,2025-10-07 09:52:44,2025-10-07 10:15:02,00:22:18,12.982031750000013,auto-detected open | auto-detected close
SUPERUSDT,LONG,39.0,0.582,0.5917,6.829400000031971,CLOSED,2025-10-08 07:54:07,2025-10-08 22:56:26,15:02:19,6.82326912003197,auto-detected open | auto-detected close
SUPERUSDT,LONG,736.0,0.582420923913,,,OPEN,2025-10-08 22:56:27,,,-23.052199999968007,auto-detected open
INUSDT,SHORT,108.0,0.20852,0.23816204,-30.25793820002848,CLOSED,2025-10-10 10:04:11,2025-10-10 10:52:05,00:47:54,29.255330000028504,auto-detected open | auto-detected close
INUSDT,SHORT,4313.0,0.23842,0.23442,17.252000000000017,CLOSED,2025-10-10 10:54:43,2025-10-10 10:56:17,00:01:34,-18.847809999999935,auto-detected open | auto-detected close
